darija,eng
jwabo 3la nabo,quick-witted
smen o 3sel,sweet
bayna ll3wer,crystal clear
Darb chch3a,impressive
Tmmer,turning a blind eye
myyek,turning a blind eye
ma3ndk fin t8reb,inevitable
mataymregch,unashamed
kayDrr f rras,controversial
sir waji,back and forth
3llah,randomly
charb bloulou,mature
kayna lm3na,worthwhile
labas 3lih,wealthy
fiha inna,suspicious
Tal3a lih l9rda,furious
S77a w slam,safe and sound
howa howa,unchanged
hir 3llah,arbitrary
fog chchb3a,superfluous
3ndo fiddih,talented
zaz louz,nice-looking
chchan TTan,quickly
bi8 fi8,quickly
blkheff,quickly
Lah i3mmerha dar,courteous
lah i3mmrha dar,he's a good man
7bb o tben,the whole ball of wax
kay9r9bo nnab,chew the rag
9r9b nnab,chew the fat
Tal9ha,he is lying
rbeT sslogyya,stop lying
mcha fiha,he's screwed
Tal3a lia l9rda,I'm angry
Allah i3Tina wj8ek,aren't you embarrassed
lah imskhek,shame on you
Lfya9 bekri bdheb mechri,The early bird gets the worm
Li zreb t3eTel,Hurrying up too much can make you late
Li fat mat,The past is dead
gleb stta ts3oud,Change the subject
Dar l3ssa frweyda,Throws a wrench into the works
ferge3 remmana,spills the beans
hadchi msllkni,that suits me
3la 7sabk,it's on you
Lah i3Tik matakol,shame on you
3la 799o o Tri9o,properly
miraran wa tikraran,frequently
chdd zkir,digs his heels in
3in mika,turn a blind eye
zreb t3TTel,hurry and you will be late
lli 3DDo l7nch kaykhaf mn l7bel,a man bitten by a snake is afraid of rope
kon sb3 o koulni,be a lion and eat me
kaydo99 wigoul chkoun,he knocks and says who is there
walaw Tart m3za,when pigs fly
9Tra b 9Tra kay7ml lwad,little drops make the mighty ocean
sdd tl9a mat7ell,lock so that you can find what to unlock
lli khaf nja,He who fears survives
l3in baSira olyed 9aSira,the eyes see but the hands cannot reach
SSara7a ra7a,frankness is peace of mind
SSadi9 we9t DDi9,a friend in need is a friend indeed
khirha f ghirha,better luck next time
Li darha b yeddih yfekha b sennih,Whoever caused the problem is responsible of fixing it
lli fat mat,what's done is done
